Timestamp                  	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 raw R (Ohm)	RTD1 raw R (Ohm)	DAQ thermistor T (K)
5:36:56.139 PM 10/16/2022 	 0.000000 	 297.647000 	 44.546000 	 -13258.983262 	 0.000000 	 297.647000 	 44.546000 	 -13258.983262 	 0.000000 	 0.000000 	 0.000000
5:36:56.639 PM 10/16/2022 	 0.000000 	 297.647000 	 44.546000 	 -13258.983262 	 0.000000 	 297.647000 	 44.546000 	 -13258.983262 	 0.000000 	 0.000000 	 0.000000
5:36:57.139 PM 10/16/2022 	 0.000000 	 297.647000 	 44.546000 	 -13258.983262 	 0.000000 	 297.647000 	 44.546000 	 -13258.983262 	 0.000000 	 0.000000 	 0.000000
5:36:57.639 PM 10/16/2022 	 0.000000 	 297.647000 	 44.546000 	 -13258.983262 	 0.000000 	 297.647000 	 44.546000 	 -13258.983262 	 0.000000 	 0.000000 	 0.000000
5:36:58.139 PM 10/16/2022 	 0.000000 	 297.647000 	 44.546000 	 -13258.983262 	 0.000000 	 297.647000 	 44.546000 	 -13258.983262 	 0.000000 	 0.000000 	 0.000000
5:36:58.639 PM 10/16/2022 	 0.000000 	 297.647000 	 44.546000 	 -13258.983262 	 0.000000 	 297.647000 	 44.546000 	 -13258.983262 	 0.000000 	 0.000000 	 0.000000
5:36:59.139 PM 10/16/2022 	 0.000000 	 297.647000 	 44.546000 	 -13258.983262 	 0.000000 	 297.647000 	 44.546000 	 -13258.983262 	 0.000000 	 0.000000 	 0.000000
5:39:18.423 PM 10/16/2022 	 0.000000 	 297.647000 	 44.546000 	 -13258.983262 	 0.000000 	 297.647000 	 44.546000 	 -13258.983262 	 0.000000 	 0.000000 	 0.000000
5:39:18.924 PM 10/16/2022 	 4.021625 	 297.647000 	 44.546000 	 -122.054731 	 4.025677 	 297.647000 	 44.546000 	 -122.054731 	 99.160240 	 108.981158 	 301.650098
5:39:19.423 PM 10/16/2022 	 4.005992 	 297.647000 	 44.546000 	 -122.054731 	 4.031229 	 297.647000 	 44.546000 	 -122.054731 	 99.160240 	 108.981158 	 301.650098
5:39:19.924 PM 10/16/2022 	 4.005692 	 297.647000 	 44.546000 	 -121.906042 	 4.027181 	 297.647000 	 44.546000 	 -121.906042 	 99.160478 	 108.980860 	 301.650600
5:39:20.423 PM 10/16/2022 	 4.012822 	 297.647000 	 44.546000 	 -121.880266 	 4.025883 	 297.647000 	 44.546000 	 -121.880266 	 99.160656 	 108.981039 	 301.650706
5:39:20.924 PM 10/16/2022 	 4.008735 	 297.647000 	 44.546000 	 -122.385759 	 4.034410 	 297.647000 	 44.546000 	 -122.385759 	 99.160418 	 108.980920 	 301.649278
5:39:21.424 PM 10/16/2022 	 4.007784 	 297.647000 	 44.546000 	 -122.860203 	 4.029931 	 297.647000 	 44.546000 	 -122.860203 	 99.160478 	 108.980681 	 301.650865
5:39:21.924 PM 10/16/2022 	 4.010236 	 297.647000 	 44.546000 	 -122.347081 	 4.027754 	 297.647000 	 44.546000 	 -122.347081 	 99.160776 	 108.980800 	 301.650600
5:39:22.424 PM 10/16/2022 	 4.003025 	 297.647000 	 44.546000 	 -122.347081 	 4.027652 	 297.647000 	 44.546000 	 -122.347081 	 99.160776 	 108.980800 	 301.650600
5:39:22.923 PM 10/16/2022 	 4.015918 	 297.647000 	 44.546000 	 -122.799355 	 4.021268 	 297.647000 	 44.546000 	 -122.799355 	 99.160537 	 108.980800 	 301.649886
5:39:23.424 PM 10/16/2022 	 4.010827 	 297.647000 	 44.546000 	 -122.287427 	 4.028895 	 297.647000 	 44.546000 	 -122.287427 	 99.160835 	 108.981277 	 301.649595
